ElTorque,ShTorque,Bicep,Tricep,AntDel,MedDel,PosDel,Pec,LowerTrap,MidTrap,Task,TrialNr,Su,Arm
5.610806518000041,3.428325999999983,0.006507861246320896,0.02336224527120263,0.14365374190679317,0.026067263699425854,0.05077797454936539,0.023422374037765332,0.022212210024070547,0.10987314710441984,10%,8.0,c02,Right
5.661772879999958,3.2740409900000045,0.006651680913929143,0.026743519410301002,0.09384864600934287,0.02320682330785535,0.05034109308996767,0.03963378086495475,0.06210065421708859,0.10430267957958836,10%,9.0,c02,Right
5.31403748199999,3.431173180000012,0.007130884034643592,0.025805307520046873,0.0556476894329624,0.025022173306377262,0.04977439624210778,0.06298787106715775,0.09950736083174347,0.10342246641118401,10%,10.0,c02,Right
18.223579772000086,10.228887209999964,0.13409766482999785,0.022010552402267416,0.026571897784593946,0.023786160151568245,0.03440066617481467,0.04310609809821574,0.07852214366460651,0.018880661423567455,10%,1.0,c10,Right
18.413390311999997,10.327971060000039,0.2328444738221664,0.025687777466588672,0.03294624441881319,0.027456251085950185,0.04506660139084839,0.0512546505959748,0.09489330649594344,0.021965901584764986,10%,2.0,c10,Right
18.664990622000033,9.30749929800008,0.1781254320967544,0.02533888960378106,0.028753478492265182,0.023928647878137164,0.03926295766792298,0.05218142798259613,0.0986019483496098,0.02145504145869263,10%,3.0,c10,Right
17.15231434,11.54646142600001,0.18769179730046356,0.02418630270422509,0.029161459110854736,0.03196779515690486,0.037666679192033425,0.04214800179483938,0.09724114519064617,0.0393541068372404,10%,4.0,c10,Right
17.944143553999933,10.20340294000004,0.1384827780453647,0.024327801307355675,0.026549642873272737,0.023152314713183613,0.032356851610830954,0.043026320559325204,0.09019954556550568,0.030247053999382368,10%,5.0,c10,Right
18.876113152000112,10.559581873999967,0.11946994261720477,0.027533544385508348,0.025792510008456365,0.023692740883989944,0.03580465370019132,0.043162582016021384,0.09259315993785022,0.03615558123582927,10%,6.0,c10,Right
18.117699790000003,10.39019417799996,0.12186819406487515,0.023501175825185044,0.02631323582490971,0.02248870806621346,0.03488815960543884,0.045284656322393466,0.0980852543865879,0.043807381946837365,10%,7.0,c10,Right
